accession,pair,signature_x,signature_y,rho,p_value,n,FDR
GSE154918,six_vs_mhcii,six_gene_panel,mhcii_cd74_axis,-0.625610859728507,9.16764073444101e-07,51,1.74372233827466e-06
GSE154918,six_vs_hladr,six_gene_panel,hla_dr_core,-0.615203619909502,1.55701999815531e-06,51,3.63304666236239e-06
GSE154918,myeloid_vs_mhcii,myeloid_inflammatory,mhcii_cd74_axis,-0.497737556561086,0.000202156517865831,51,0.000318827214224716
GSE154918,myeloid_vs_adaptive,myeloid_inflammatory,adaptive_t_cell_context,-0.726787330316742,1.55786864004762e-09,51,2.72627012008333e-09
GSE154918,ifn_vs_mhcii,interferon_antigen_presentation,mhcii_cd74_axis,0.679547511312217,4.18209904567206e-08,51,7.31867332992611e-08
GSE154918,immunometabolic_vs_myeloid,immunometabolic_stress,myeloid_inflammatory,0.794298642533937,3.50365905965771e-12,51,4.9051226835208e-12
GSE134347,six_vs_mhcii,six_gene_panel,mhcii_cd74_axis,-0.326375908618899,9.9641276472838e-07,215,1.74372233827466e-06
GSE134347,six_vs_hladr,six_gene_panel,hla_dr_core,-0.293343234562535,1.22682711358133e-05,215,2.14694744876732e-05
GSE134347,myeloid_vs_mhcii,myeloid_inflammatory,mhcii_cd74_axis,-0.331369992030718,6.63694157796677e-07,215,1.54861970152558e-06
GSE134347,myeloid_vs_adaptive,myeloid_inflammatory,adaptive_t_cell_context,-0.474314762491246,1.84767288641751e-13,215,1.29337102049225e-12
GSE134347,ifn_vs_mhcii,interferon_antigen_presentation,mhcii_cd74_axis,0.547894177594243,3.05119820758881e-18,215,2.13583874531217e-17
GSE134347,immunometabolic_vs_myeloid,immunometabolic_stress,myeloid_inflammatory,0.838852664879616,3.5993147886097e-58,215,2.51952035202679e-57
GSE65682,six_vs_mhcii,six_gene_panel,mhcii_cd74_axis,-0.499166666666667,1.40113666609948e-15,225,9.80795666269638e-15
GSE65682,six_vs_hladr,six_gene_panel,hla_dr_core,-0.466748841129372,1.42267356204748e-13,225,9.95871493433236e-13
GSE65682,myeloid_vs_mhcii,myeloid_inflammatory,mhcii_cd74_axis,-0.431006110408765,1.35910929350176e-11,225,9.51376505451232e-11
GSE65682,myeloid_vs_adaptive,myeloid_inflammatory,adaptive_t_cell_context,-0.426730931310577,2.26456164446715e-11,225,7.92596575563503e-11
GSE65682,ifn_vs_mhcii,interferon_antigen_presentation,mhcii_cd74_axis,0.484664981036663,1.17585396909793e-14,225,4.11548889184277e-14
GSE65682,immunometabolic_vs_myeloid,immunometabolic_stress,myeloid_inflammatory,0.793270122208175,5.96635259259892e-50,225,2.08822340740962e-49
GSE32707,six_vs_mhcii,six_gene_panel,mhcii_cd74_axis,-0.20383631713555,0.0929676500448238,69,0.0929676500448238
GSE32707,six_vs_hladr,six_gene_panel,hla_dr_core,-0.0575447570332481,0.638598239578191,69,0.638598239578191
GSE32707,myeloid_vs_mhcii,myeloid_inflammatory,mhcii_cd74_axis,-0.0774936061381074,0.526796849627413,69,0.526796849627413
